"car"	"status"	"inspect_exit"	"screenshot"	"summary"	"error"
"993"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\993.png"	"102 parts · 8853 vertices · 2951 triangles · 11 textures · 48 materials"	""
"996"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\996.png"	"107 parts · 9636 vertices · 3212 triangles · 11 textures · 50 materials"	""
"boxster"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\boxster.png"	"103 parts · 8820 vertices · 2940 triangles · 11 textures · 49 materials"	""
"cop356"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\cop356.png"	"97 parts · 9480 vertices · 3160 triangles · 9 textures · 50 materials"	""
"cop356_german"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\cop356_german.png"	"99 parts · 9504 vertices · 3168 triangles · 9 textures · 48 materials"	""
"cop930"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\cop930.png"	"95 parts · 9105 vertices · 3035 triangles · 9 textures · 43 materials"	""
"cop930_german"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\cop930_german.png"	"97 parts · 9129 vertices · 3043 triangles · 9 textures · 44 materials"	""
"cop993"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\cop993.png"	"96 parts · 8787 vertices · 2929 triangles · 9 textures · 43 materials"	""
"cop993_german"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\cop993_german.png"	"98 parts · 8835 vertices · 2945 triangles · 9 textures · 45 materials"	""
"eas1"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eas1.png"	"25 parts · 1290 vertices · 430 triangles · 5 textures · 17 materials"	""
"eas10"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eas10.png"	"27 parts · 1524 vertices · 508 triangles · 5 textures · 21 materials"	""
"eas11"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eas11.png"	"29 parts · 1533 vertices · 511 triangles · 5 textures · 21 materials"	""
"eas2"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eas2.png"	"26 parts · 1683 vertices · 561 triangles · 5 textures · 19 materials"	""
"eas3"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eas3.png"	"27 parts · 1452 vertices · 484 triangles · 5 textures · 19 materials"	""
"eas4"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eas4.png"	"28 parts · 1497 vertices · 499 triangles · 5 textures · 21 materials"	""
"eas5"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eas5.png"	"26 parts · 1320 vertices · 440 triangles · 5 textures · 20 materials"	""
"eas6"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eas6.png"	"34 parts · 1404 vertices · 468 triangles · 5 textures · 23 materials"	""
"eas7"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eas7.png"	"28 parts · 1404 vertices · 468 triangles · 5 textures · 22 materials"	""
"eas8"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eas8.png"	"32 parts · 1380 vertices · 460 triangles · 5 textures · 23 materials"	""
"eas9"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eas9.png"	"30 parts · 1467 vertices · 489 triangles · 5 textures · 21 materials"	""
"eden1"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eden1.png"	"26 parts · 1350 vertices · 450 triangles · 5 textures · 14 materials"	""
"eden2"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eden2.png"	"25 parts · 1284 vertices · 428 triangles · 5 textures · 14 materials"	""
"eden3"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eden3.png"	"26 parts · 1284 vertices · 428 triangles · 5 textures · 17 materials"	""
"eden4"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eden4.png"	"25 parts · 1170 vertices · 390 triangles · 5 textures · 16 materials"	""
"eden5"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\eden5.png"	"26 parts · 1236 vertices · 412 triangles · 5 textures · 15 materials"	""
"f901"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\f901.png"	"97 parts · 9006 vertices · 3002 triangles · 11 textures · 43 materials"	""
"f996"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\f996.png"	"94 parts · 9822 vertices · 3274 triangles · 11 textures · 48 materials"	""
"fboxster"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\fboxster.png"	"106 parts · 8856 vertices · 2952 triangles · 11 textures · 48 materials"	""
"gt1"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\gt1.png"	"78 parts · 9024 vertices · 3008 triangles · 11 textures · 46 materials"	""
"gt2"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\gt2.png"	"98 parts · 8973 vertices · 2991 triangles · 11 textures · 48 materials"	""
"gt3"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\gt3.png"	"90 parts · 9702 vertices · 3234 triangles · 11 textures · 41 materials"	""
"postship"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\009-style-paint\rear\postship.png"	"18 parts · 3603 vertices · 1201 triangles · 2 textures · 3 materials"	""
