"car"	"status"	"inspect_exit"	"screenshot"	"summary"	"error"
"993"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\993.png"	"94 parts · 8349 vertices · 2783 triangles · 11 textures · 48 materials"	""
"996"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\996.png"	"96 parts · 9270 vertices · 3090 triangles · 11 textures · 50 materials"	""
"boxster"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\boxster.png"	"95 parts · 8712 vertices · 2904 triangles · 11 textures · 49 materials"	""
"cop356"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\cop356.png"	"97 parts · 9480 vertices · 3160 triangles · 9 textures · 50 materials"	""
"cop356_german"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\cop356_german.png"	"97 parts · 9492 vertices · 3164 triangles · 9 textures · 48 materials"	""
"cop930"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\cop930.png"	"95 parts · 9105 vertices · 3035 triangles · 9 textures · 43 materials"	""
"cop930_german"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\cop930_german.png"	"95 parts · 9117 vertices · 3039 triangles · 9 textures · 44 materials"	""
"cop993"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\cop993.png"	"96 parts · 8676 vertices · 2892 triangles · 9 textures · 43 materials"	""
"cop993_german"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\cop993_german.png"	"96 parts · 8712 vertices · 2904 triangles · 9 textures · 45 materials"	""
"eas1"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eas1.png"	"25 parts · 1290 vertices · 430 triangles · 5 textures · 17 materials"	""
"eas10"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eas10.png"	"27 parts · 1524 vertices · 508 triangles · 5 textures · 21 materials"	""
"eas11"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eas11.png"	"29 parts · 1533 vertices · 511 triangles · 5 textures · 21 materials"	""
"eas2"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eas2.png"	"26 parts · 1683 vertices · 561 triangles · 5 textures · 19 materials"	""
"eas3"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eas3.png"	"27 parts · 1452 vertices · 484 triangles · 5 textures · 19 materials"	""
"eas4"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eas4.png"	"28 parts · 1497 vertices · 499 triangles · 5 textures · 21 materials"	""
"eas5"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eas5.png"	"26 parts · 1320 vertices · 440 triangles · 5 textures · 20 materials"	""
"eas6"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eas6.png"	"34 parts · 1404 vertices · 468 triangles · 5 textures · 23 materials"	""
"eas7"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eas7.png"	"28 parts · 1404 vertices · 468 triangles · 5 textures · 22 materials"	""
"eas8"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eas8.png"	"32 parts · 1380 vertices · 460 triangles · 5 textures · 23 materials"	""
"eas9"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eas9.png"	"30 parts · 1467 vertices · 489 triangles · 5 textures · 21 materials"	""
"eden1"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eden1.png"	"26 parts · 1350 vertices · 450 triangles · 5 textures · 14 materials"	""
"eden2"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eden2.png"	"25 parts · 1284 vertices · 428 triangles · 5 textures · 14 materials"	""
"eden3"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eden3.png"	"26 parts · 1284 vertices · 428 triangles · 5 textures · 17 materials"	""
"eden4"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eden4.png"	"25 parts · 1170 vertices · 390 triangles · 5 textures · 16 materials"	""
"eden5"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\eden5.png"	"26 parts · 1236 vertices · 412 triangles · 5 textures · 15 materials"	""
"f901"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\f901.png"	"68 parts · 4866 vertices · 1622 triangles · 11 textures · 43 materials"	""
"f996"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\f996.png"	"90 parts · 9054 vertices · 3018 triangles · 11 textures · 48 materials"	""
"fboxster"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\fboxster.png"	"93 parts · 8454 vertices · 2818 triangles · 11 textures · 48 materials"	""
"gt1"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\gt1.png"	"78 parts · 9024 vertices · 3008 triangles · 11 textures · 46 materials"	""
"gt2"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\gt2.png"	"94 parts · 8349 vertices · 2783 triangles · 11 textures · 48 materials"	""
"gt3"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\gt3.png"	"91 parts · 9762 vertices · 3254 triangles · 11 textures · 41 materials"	""
"postship"	"ok"	"0"	"F:\claude\porsche disasm\iterations\001-car-viewer\runs\008-complete-corpus\front\postship.png"	"18 parts · 3603 vertices · 1201 triangles · 2 textures · 3 materials"	""
